timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:06:02.167","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.151","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.136","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.120","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.107","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.089","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.073","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.058","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.042","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.026","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.010","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.995","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.979","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.963","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.948","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.932","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.917","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.901","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.885","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.871","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.870","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.370","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.354","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.340","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.323","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
